,0,p_value,relevant,trigger
1448450170,0.09536666050607956,0.19275852264436047,,first part starts; 
1448450185,0.14483531683975234,0.06561648368925856,,
1448450200,0.20000796220901285,0.023007112985010045,True,
1448450215,0.17488189755708772,0.03864347789598671,True,the music starts; Lights off. Show begins; 
1448450230,0.1294562638464049,0.14528370422430092,,
1448450245,0.08240537285016494,0.6920271765472332,,
1448450260,0.05731967005097417,0.7764136371212578,,
1448450275,0.09193466389034452,0.7498603182693716,,Joey appears; the little joey appeared at the first time; 
1448450290,0.06444124584022183,0.7531208188026387,,
1448450305,0.007060400061433333,0.492528337037625,,
1448450320,0.02541947601960481,0.6626875612905586,,
1448450335,0.04463825544728936,0.7299217421944683,,
1448450350,0.07314263406064808,0.7135162294018059,,
1448450365,0.08756172769502449,0.7638920225428751,,the little joey starts to shout in the sky; 
1448450380,0.08563227430265187,0.766084448372018,,end of Scene 1. Man starts singing; 
1448450395,0.08432720084977724,0.6500429062275381,,the group people start to sing; 
1448450410,0.06075234684192106,0.6849405916700743,,
1448450425,0.09425957066159793,0.7571856223472951,,
1448450440,0.13291337032599215,0.4836294274533144,,
1448450455,0.13107414910738807,0.6285898380498492,,the auction starts; Auction begins. Bell ringing; 
1448450470,0.16134052036957694,0.49264015232518105,,
1448450485,0.20000854360156706,0.06868720296860742,,
1448450500,0.22027864015062126,0.15501394187562714,,
1448450515,0.2079366304687608,0.144214283766392,,
1448450530,0.15044984802907374,0.28972865823105715,,
1448450545,0.0864899254865177,0.44736649433762665,,
1448450560,0.04511220723758711,0.480462491093176,,
1448450575,0.05260098072675254,0.6106125486763061,,
1448450590,0.10405262735345026,0.7705916667932016,,
1448450605,0.11105120028176473,0.7099883337233198,,
1448450620,0.11249074032467686,0.630300556839379,,
1448450635,0.16405314377263128,0.513249187060082,,ted became crazy because Arthur thought that he cannot afford the price; 
1448450650,0.1700472811322661,0.535940881006063,,
1448450665,0.14639682915101676,0.3971306297300519,,
1448450680,0.15250155643142216,0.2081000480482868,,Carter says the horse is sold. ; 
1448450695,0.2142967780336379,0.10855851272290687,,ted gave 39pounds to buy the little joey; 
1448450710,0.2718937338614759,0.04008573610702632,True,
1448450725,0.2508050367365524,0.12251528997436086,,
1448450740,0.18238870391163373,0.20343466654980785,,
1448450755,0.17108447255423925,0.3992563872077445,,Ted whips joey; 
1448450770,0.2336181208811508,0.16477733421732754,,goose came out; End of scene 2. Goose appears; 
1448450785,0.2636127894061137,0.1047340339881341,,
1448450800,0.25165423779395113,0.05671331743915401,,
1448450815,0.2340293422978673,0.027529883582040518,True,
1448450830,0.17726740921210013,0.08085600740228756,,
1448450845,0.09615841256433837,0.5805773329743377,,Ted leaves; 
1448450860,0.0637039866582784,0.7149627091845262,,
1448450875,0.05527002408119654,0.4625822477807905,,goose shows scaring to the little joey; 
1448450890,0.036878497257903625,0.6239633095724769,,
1448450905,0.028720243868273064,0.7022521542450021,,rose went inside; 
1448450920,0.06461829789797087,0.2963126880018644,,"End of scene 3, Rose leaves, goose follows.0:11:50; "
1448450935,0.14169402522952798,0.6703103981473576,,
1448450950,0.2125889815585557,0.5339023903588332,,albert tried to feed the little joey; 
1448450965,0.18112997911519887,0.4473352863792042,,Albert puts down the pail in the centre of the stage; 
1448450980,0.13675938926902872,0.4719371597743933,,
1448450995,0.22553231433383625,0.7508223762760159,,
1448451010,0.2300745815526515,0.3826743470320211,,Albert turns around and walk away. Joey takes a step forward.; 
1448451025,0.13235797323887974,0.21920813601283928,,
1448451040,0.0915361153187322,0.4380928763947338,,
1448451055,0.049011074192024884,0.3751139649264093,,little joey tried the food provided by Albert; 
1448451070,0.024175733114733814,0.7148788312013873,,
1448451085,0.04475229818956252,0.7288563554200888,,
1448451100,0.09294208517394904,0.6666184311496505,,
1448451115,0.1780290853435956,0.7275985126835315,,
1448451130,0.28615970088780285,0.6723962671677818,,
1448451145,0.2833569023221557,0.6800667669653878,,albert gave the name Joey; 
1448451160,0.17723881667692765,0.5546859218926966,,Albert starts to whistle; Owl whistle by albert; 
1448451175,0.11466113016760565,0.2974391091158718,,
1448451190,0.18167194737783326,0.1062048950408274,,Albert picks up pail and begin of song; the song starts; 
1448451205,0.3395001761193809,0.019245565527807484,True,Joey blowed to Albert; 
1448451220,0.3899132973256348,0.007617498677090296,True,
1448451235,0.2943066233500249,0.09385434597365498,,Albert jumped before the joey; 
1448451250,0.2333609849253107,0.2662918781159016,,
1448451265,0.3539836410482826,0.09797596129404047,,Joey picks up Albert's hat ( albert on the floor); 
1448451280,0.7527983115310294,0.04533224845459103,True,
1448451295,0.9800892901344341,0.04077675794875741,True,Joey guess right which hand.the coin.stayed; first neigh; 
1448451310,0.6598158764509338,0.08451245951811519,,
1448451325,0.3158572898337265,0.3071867907249169,,
1448451340,0.21926194343639005,0.7450431543454193,,the little joey became the big joey; Joey grows up; 
1448451355,0.14368456197464902,0.7633660374352847,,Albert ride the Joey; 
1448451370,0.0898998090445388,0.7310579447263003,,End of scene 5. Albert rides Joey and leaves the stage. Stage darkens. ; Second scene starts; 
1448451385,0.12248788105153052,0.22821985539042056,,
1448451400,0.1080899840220144,0.5658220010763088,,Joey appeared in which Albert rides; 
1448451415,0.06276465580832133,0.7541316423030898,,Joey galloping on stage; 
1448451430,0.051512015509934936,0.4536604244545093,,
