,0,p_value
1448450170,0.054881826,0.326455937
1448450185,0.159390986,0.108629163
1448450200,0.263128017,0.020678906
1448450215,0.24307821,0.037933586
1448450230,0.174387723,0.194428173
1448450245,0.093456724,0.95097893
1448450260,0.066321363,0.949282756
1448450275,0.133517467,0.907418974
1448450290,0.093968993,0.919048265
1448450305,0.010571321,0.823791255
1448450320,0.028130903,0.74971901
1448450335,0.033884749,0.782479064
1448450350,0.040425186,0.859323961
1448450365,0.060498902,0.927496146
1448450380,0.090288566,0.950963648
1448450395,0.097110124,0.814590341
1448450410,0.067889252,0.845790411
1448450425,0.123474688,0.968431187
1448450440,0.178361736,0.687232046
1448450455,0.174702393,0.866413867
1448450470,0.162370886,0.843376042
1448450485,0.155469099,0.084479135
1448450500,0.229683917,0.131117473
1448450515,0.283073985,0.109065965
1448450530,0.221608587,0.114372707
1448450545,0.116164056,0.447289151
1448450560,0.045300839,0.488849592
1448450575,0.060071406,0.70654489
1448450590,0.109650813,0.950271157
1448450605,0.102588082,0.937575313
1448450620,0.102049523,0.911378628
1448450635,0.16132863,0.687232046
1448450650,0.190294147,0.612112591
1448450665,0.173894923,0.440193268
1448450680,0.165999534,0.208740359
1448450695,0.257449092,0.210791132
1448450710,0.35474845,0.085083049
1448450725,0.336521735,0.094179877
1448450740,0.257082508,0.137675069
1448450755,0.252499974,0.186957441
1448450770,0.325418088,0.216744936
1448450785,0.327208377,0.203711747
1448450800,0.2966161,0.188423998
1448450815,0.277431911,0.130450025
1448450830,0.183192177,0.306350416
1448450845,0.064756312,0.923409475
1448450860,0.035448193,0.910387107
1448450875,0.040906033,0.893920351
1448450890,0.030463246,0.906635483
1448450905,0.031825269,0.624751865
1448450920,0.090390351,0.548416959
1448450935,0.203204289,0.945708056
1448450950,0.299902805,0.774429786
1448450965,0.248852702,0.726711219
1448450980,0.18600486,0.735713366
1448450995,0.321040423,0.91323764
1448451010,0.32438137,0.826973486
1448451025,0.147427928,0.519661745
1448451040,0.075321777,0.872156946
1448451055,0.035939425,0.835343404
1448451070,0.010026057,0.58554771
1448451085,0.045072423,0.781353949
1448451100,0.123507756,0.700351677
1448451115,0.25204716,0.909465763
1448451130,0.40970227,0.95463436
1448451145,0.403352996,0.943736443
1448451160,0.246313294,0.819057135
1448451175,0.157077053,0.40082188
1448451190,0.246636119,0.274582388
1448451205,0.45637552,0.047865542
1448451220,0.518146939,0.011162494
1448451235,0.388388948,0.150208837
1448451250,0.305515031,0.437121902
1448451265,0.184513464,0.177831499
1448451280,0.132742858,0.08313053
1448451295,0.212089113,0.088905029
1448451310,0.215083715,0.208899009
1448451325,0.28235369,0.689361783
1448451340,0.328577138,0.836428249
1448451355,0.215567645,0.780870697
1448451370,0.133845711,0.61469108
1448451385,0.181150531,0.687232046
1448451400,0.160386838,0.912850849
1448451415,0.092744739,0.773201089
1448451430,0.075294059,0.843316441
1448451445,0.065951764,0.804808601
1448451460,0.043205915,0.900810409
1448451475,0.018075656,0.878708334
1448451490,0.024311658,0.891331107
1448451505,0.056264924,0.93947817
1448451520,0.054512085,0.856183104
1448451535,0.046984241,0.843592133
1448451550,0.152791621,0.776413347
1448451565,0.403075663,0.183654015
1448451580,0.479985064,0.151272095
1448451595,0.247503255,0.231477146
1448451610,0.04910675,0.897613588
1448451625,0.079335665,0.749042663
1448451640,0.174807846,0.526118936
1448451655,0.166011906,0.209356031
1448451670,0.14248533,0.351543996
1448451685,0.085691051,0.971672126
1448451700,0.033083497,0.948547013
1448451715,0.099204689,0.954803968
1448451730,0.122036229,0.809805966
1448451745,0.092732003,0.701958413
1448451760,0.153162373,0.74680972
1448451775,0.21311894,0.223942974
1448451790,0.218059361,0.295680773
1448451805,0.16894556,0.170601283
1448451820,0.121822714,0.483068633
1448451835,0.117533283,0.839982702
1448451850,0.070867995,0.87111868
1448451865,0.073005717,0.847363366
1448451880,0.204659722,0.667255393
1448451895,0.260713178,0.562832903
1448451910,0.17083381,0.316903039
1448451925,0.112068544,0.36355112
1448451940,0.124927415,0.32425843
1448451955,0.109344152,0.660268321
1448451970,0.055619233,0.701523137
1448451985,0.084079631,0.627546831
1448452000,0.188196362,0.506832184
1448452015,0.223655846,0.259138929
1448452030,0.154942644,0.574386522
1448452045,0.144124039,0.620676957
1448452060,0.189864213,0.566353986
1448452075,0.124960543,0.670615862
1448452090,0.064550456,0.84841244
1448452105,0.097668493,0.904551931
1448452120,0.156942021,0.327431142
1448452135,0.198689566,0.234995834
1448452150,0.180444491,0.344461378
1448452165,0.106278507,0.353250229
1448452180,0.105671882,0.670580442
1448452195,0.164577199,0.740724773
1448452210,0.165650237,0.766474509
1448452225,0.107394106,0.85399244
1448452240,0.08534251,0.844650847
1448452255,0.121302319,0.495947982
1448452270,0.205984953,0.168869327
1448452285,0.360048905,0.03082292
1448452300,0.310817217,0.134012337
1448452315,0.11200386,0.422444704
1448452330,0.027629758,0.809600248
1448452345,0.13339954,0.924351295
1448452360,0.26146403,0.84685145
1448452375,0.162630692,0.931505921
1448452390,0.050578445,0.947600615
1448452405,0.056329417,0.857892366
1448452420,0.088194644,0.745410139
1448452435,0.072958748,0.872056426
1448452450,0.066949326,0.899494471
1448452465,0.214758932,0.826175005
1448452480,0.306051754,0.120947982
1448452495,0.180275815,0.107565484
1448452510,0.076289761,0.452320343
