,0,p_value
1448363833,0.067865356,0.286701873
1448363848,0.04718624,0.449996863
1448363863,0.046880105,0.568666577
1448363878,0.036588892,0.544622969
1448363893,0.029267458,0.543541044
1448363908,0.059466413,0.477088584
1448363923,0.131305711,0.605044958
1448363938,0.126976201,0.605585608
1448363953,0.160922928,0.543216381
1448363968,0.499167204,0.562957222
1448363983,0.970081375,0.61201142
1448363998,1.094379568,0.616973842
1448364013,0.846246655,0.621727535
1448364028,0.582951477,0.242179723
1448364043,0.440796261,0.15231435
1448364058,0.380000505,0.083267891
1448364073,0.319177468,0.072368841
1448364088,0.498236959,0.006637079
1448364103,0.773299208,0.055916747
1448364118,0.569787049,0.019725137
1448364133,0.34108396,0.005132914
1448364148,0.527775476,0.002055197
1448364163,0.64330551,0.001164637
1448364178,0.507953673,0.004113943
1448364193,0.376013605,0.028049524
1448364208,0.227400269,0.280273968
1448364223,0.115649254,0.555252682
1448364238,0.083567846,0.588459992
1448364253,0.051485281,0.498906456
1448364268,0.047031783,0.4065632
1448364283,0.0261781,0.537205211
1448364298,0.016697403,0.558984746
1448364313,0.058800908,0.531949849
1448364328,0.142189574,0.533640231
1448364343,0.156334558,0.358990264
1448364358,0.131112297,0.568745665
1448364373,0.131140092,0.377666218
1448364388,0.172432036,0.579867665
1448364403,0.291443825,0.512728302
1448364418,0.244550461,0.377106409
1448364433,0.098236132,0.149515504
1448364448,0.132481916,0.210869131
1448364463,0.189002735,0.116489639
1448364478,0.209425879,0.027706108
1448364493,0.341382756,0.021779111
1448364508,0.364715886,0.258156088
1448364523,0.233503177,0.244265386
1448364538,0.161224506,0.611168318
1448364553,0.074403774,0.590808522
1448364568,0.048356899,0.49946159
1448364583,0.125005279,0.242527919
1448364598,0.099453897,0.555834477
1448364613,0.045425695,0.517526649
1448364628,0.07080508,0.550946413
1448364643,0.102798263,0.579981171
1448364658,0.148267207,0.592022541
1448364673,0.10130092,0.570542046
1448364688,0.023922103,0.369285457
1448364703,0.030248155,0.320599032
1448364718,0.04272096,0.50813013
1448364733,0.048101956,0.523544774
1448364748,0.073298349,0.560598618
1448364763,0.0500434,0.499305655
1448364778,0.018931976,0.536955858
1448364793,0.068743956,0.54908115
1448364808,0.136669097,0.451964102
1448364823,0.158491167,0.164011719
1448364838,0.185893788,0.163658634
1448364853,0.239671563,0.340643598
1448364868,0.248585569,0.38338545
1448364883,0.266366639,0.113491689
1448364898,0.430977736,0.050968248
1448364913,0.57558389,0.040078394
1448364928,0.652470331,0.031303197
1448364943,0.769072287,0.025009742
1448364958,0.667947515,0.040387923
1448364973,0.378624514,0.037029894
1448364988,0.240731615,0.195725074
1448365003,0.270081598,0.175264098
1448365018,0.231034963,0.125953089
1448365033,0.199411656,0.261733699
1448365048,0.265612867,0.417386799
1448365063,0.40059296,0.402493758
1448365078,0.495768988,0.479646726
1448365093,0.324240097,0.466339843
1448365108,0.128791318,0.584693472
1448365123,0.145076775,0.225880044
1448365138,0.18365076,0.111308328
1448365153,0.123570525,0.113444153
1448365168,0.052034878,0.488146232
1448365183,0.025570391,0.558439029
1448365198,0.031720303,0.519911955
