,,0,relevant,trigger
1448018400,,0.177352247,,song begins; ??¡À?-?????¡ì???????¨¦?¡é????o???atrigger???????o?; 
1448018415,,0.081267926,,
1448018430,,0.094909473,,
1448018445,,0.108671925,,
1448018460,,0.104870379,,
1448018475,,0.172045214,,
1448018490,,0.239244357,,
1448018505,,0.288478634,,
1448018520,,0.245605403,,
1448018535,,0.107902975,,
1448018550,,0.203902398,,
1448018565,,0.46846887,,
1448018580,,0.489901046,TRUE,
1448018595,,0.264642712,,
1448018610,,0.150753451,TRUE,
1448018625,,0.189709299,,
1448018640,,0.154588117,,
1448018655,,0.060014537,,
1448018670,,0.041144978,,
1448018685,,0.060137227,,
1448018700,,0.044184786,,
1448018715,,0.041690473,,
1448018730,,0.093477331,,
1448018745,,0.160184845,,
1448018760,,0.508795359,,
1448018775,,0.733686179,,
1448018790,,0.376755732,,
1448018805,,0.067319968,,
1448018820,,0.02053659,,2. after auction. horse leaves; ?£¤3????oo??o??£¤?o???????¨¦?¡ä?????£¤¨¨???¡ã???????????????¡§????o?; 
1448018835,,0.027778742,,
1448018850,,0.095950094,,
1448018865,,0.112617316,,
1448018880,,0.070292786,,
1448018895,,0.074977967,,
1448018910,,0.111225484,,
1448018925,,0.127893933,,
1448018940,,0.098327922,,
1448018955,,0.088276347,,3. Rose leaves to scold Ted; ?£¤3????oo?|????; 
1448018970,,0.088378219,,
1448018985,,0.064491166,,
1448019000,,0.054338699,,
1448019015,,0.093504047,,
1448019030,,0.110726865,,
1448019045,,0.134999618,,
1448019060,,0.212656133,,
1448019075,,0.181249667,,
1448019090,,0.124379537,,
1448019105,,0.119583797,,
1448019120,,0.105274637,,
1448019135,,0.084102803,,
1448019150,,0.04472394,,
1448019165,,0.019963304,,
1448019180,,0.018053023,,
1448019195,,0.028638072,,
1448019210,,0.056252398,,
1448019225,,0.083760706,,¨¦????¡¥??1???¨¨¦Ì¡¤???¨¦???????????????¡ì???¡À?-?; 4. Albert names the horse Joey; 
1448019240,,0.08389564,,
1448019255,,0.072620806,,
1448019270,,0.090301873,,
1448019285,,0.128282576,,
1448019300,,0.198440256,,
1448019315,,0.38655055,,
1448019330,,0.490574363,TRUE,
1448019345,,0.339074374,,
1448019360,,0.131457277,,
1448019375,,0.214655209,,
1448019390,,0.490685202,,¨¦????¡¥??1¨¨¡¤3???¨¦??; 5. Joey grows up. Albert rides on Joey. ; 
1448019405,,0.359500815,,
1448019420,,0.107136299,,
1448019435,,0.118637574,,
1448019450,,0.119116642,,
1448019465,,0.081197713,,
1448019480,,0.046012653,,
1448019495,,0.028712738,,
1448019510,,0.143574702,,
1448019525,,0.360950705,,
1448019540,,0.35453563,,
1448019555,,0.251069486,,
1448019570,,0.215329986,,ted??????¨¦??; 
1448019585,,0.108753964,,6. Ted agrees to go for a drink. Jac presses on Triggger but is unable to write comment once she tilts her phone; 
1448019600,,0.055373361,,
1448019615,,0.195147229,,
1448019630,,0.56772367,,
1448019645,,0.997577626,,
1448019660,,1.091959677,,
