,0,p_value
1448363833,0.080126425,0.148829543
1448363848,0.052838727,0.2851606
1448363863,0.039482496,0.297526176
1448363878,0.04208526,0.258106989
1448363893,0.057535066,0.311047405
1448363908,0.058027665,0.319861221
1448363923,0.05926012,0.238936512
1448363938,0.103590471,0.252802316
1448363953,0.177615459,0.122887815
1448363968,0.217877112,0.030744983
1448363983,0.198368953,0.022524197
1448363998,0.137843561,0.098412122
1448364013,0.082674355,0.189860182
1448364028,0.107268815,0.07858518
1448364043,0.299161973,0.006399875
1448364058,0.51626044,0.000743508
1448364073,0.506931965,8.82E-05
1448364088,0.49632764,0.000170797
1448364103,0.535750102,0.008674415
1448364118,0.371929213,0.007720224
1448364133,0.247421369,0.005307346
1448364148,0.331652599,0.003491722
1448364163,0.35029665,0.002275445
1448364178,0.271885306,0.005707459
1448364193,0.232642443,0.010549903
1448364208,0.196804727,0.08299875
1448364223,0.171546387,0.215300505
1448364238,0.131389369,0.226420762
1448364253,0.080695615,0.177762585
1448364268,0.097085833,0.049129427
1448364283,0.159253853,0.055945136
1448364298,0.243455459,0.074437739
1448364313,0.251658935,0.082741513
1448364328,0.20989431,0.043669564
1448364343,0.237002639,0.058177033
1448364358,0.244852345,0.082610617
1448364373,0.268717398,0.051748123
1448364388,0.410847318,0.047522065
1448364403,0.539533929,0.014285781
1448364418,0.496676511,0.003458469
1448364433,0.421430723,0.003821548
1448364448,0.494711592,0.008002569
1448364463,0.411870327,0.005566708
1448364478,0.215341065,0.018727572
1448364493,0.264660326,0.018101778
1448364508,0.302678886,0.069442755
1448364523,0.201919584,0.164155967
1448364538,0.126165149,0.201805662
1448364553,0.057074434,0.288194086
1448364568,0.017129939,0.287351779
1448364583,0.028224424,0.287970671
1448364598,0.025948967,0.259230824
1448364613,0.022392038,0.285932056
1448364628,0.036241726,0.285527089
1448364643,0.037877298,0.272157708
1448364658,0.046690316,0.30131754
1448364673,0.086216449,0.274111435
1448364688,0.129590426,0.273883933
1448364703,0.133351668,0.201158674
1448364718,0.10115543,0.230701482
1448364733,0.070840342,0.284397106
1448364748,0.056242377,0.294348822
1448364763,0.082374238,0.302984214
1448364778,0.17167587,0.295972593
1448364793,0.284215317,0.167546992
1448364808,0.339171658,0.099299564
1448364823,0.316276057,0.035094329
1448364838,0.218232459,0.017088637
1448364853,0.160626537,0.024880935
1448364868,0.252961411,0.007382908
1448364883,0.400514497,0.001405715
1448364898,0.467337502,0.001997132
1448364913,0.472965686,0.000192345
1448364928,0.58972605,1.05E-05
1448364943,0.851538287,0.000167088
1448364958,0.852211869,9.07E-05
1448364973,0.488406508,0.000152729
1448364988,0.251982396,0.060748781
1448365003,0.178393179,0.047894955
1448365018,0.151648604,0.032733615
1448365033,0.204912796,0.069599748
1448365048,0.258457616,0.127457996
1448365063,0.315561594,0.161024874
1448365078,0.318188569,0.146919334
1448365093,0.190447644,0.227342068
1448365108,0.093482548,0.21520978
1448365123,0.128847815,0.037026791
1448365138,0.186556955,0.029578507
1448365153,0.135584946,0.053880982
1448365168,0.051267033,0.165996777
1448365183,0.031962586,0.286598503
1448365198,0.034995864,0.296882175
1448365213,0.114678454,0.184346837
1448365228,0.208787409,0.087485654
1448365243,0.312022952,0.021999817
1448365258,0.33866919,0.008375482
1448365273,0.178439779,0.050401704
1448365288,0.058960042,0.14788873
1448365303,0.049435461,0.2239949
1448365318,0.057641692,0.160661757
1448365333,0.097505159,0.127871726
1448365348,0.183082085,0.149908486
1448365363,0.203344256,0.119805186
1448365378,0.151241007,0.09861937
1448365393,0.153530919,0.092145271
1448365408,0.211757763,0.013416172
1448365423,0.254656384,0.00175611
1448365438,0.23254425,0.001449235
1448365453,0.188621507,0.073234751
1448365468,0.163076492,0.114041379
1448365483,0.17268472,0.215791872
1448365498,0.178547585,0.287821945
1448365513,0.110189693,0.272442849
1448365528,0.030520652,0.29700989
1448365543,0.027291557,0.29868505
1448365558,0.069171577,0.276833371
1448365573,0.109578526,0.219593404
1448365588,0.159905122,0.263281442
1448365603,0.181050079,0.268813896
1448365618,0.140440462,0.239776989
1448365633,0.163317751,0.22021807
1448365648,0.211762836,0.192921952
1448365663,0.158216164,0.18330119
1448365678,0.143031625,0.192170154
1448365693,0.197093702,0.268194389
1448365708,0.156094573,0.296456656
1448365723,0.079910654,0.320092606
1448365738,0.068973064,0.282083324
1448365753,0.07886029,0.140540789
1448365768,0.108749686,0.060106946
1448365783,0.132986407,0.067841568
1448365798,0.190169931,0.204620056
1448365813,0.230714996,0.196519348
