,0,p_value
1448450170,0.156275957,0.063078508
1448450185,0.131607908,0.080956352
1448450200,0.081338405,0.105034792
1448450215,0.099680945,0.240834926
1448450230,0.105090497,0.225352359
1448450245,0.057473534,0.254101857
1448450260,0.031246002,0.162961565
1448450275,0.056108176,0.236077036
1448450290,0.110564167,0.200999482
1448450305,0.144641117,0.182418593
1448450320,0.141739578,0.094602773
1448450335,0.117045153,0.127801169
1448450350,0.133318093,0.232561173
1448450365,0.153515918,0.067223809
1448450380,0.219230004,0.015932687
1448450395,0.323026231,0.006491525
1448450410,0.302408378,0.004328235
1448450425,0.304464004,0.006394921
1448450440,0.355817619,0.03236546
1448450455,0.279109142,0.010384228
1448450470,0.212344326,0.001599234
1448450485,0.295374101,0.000153279
1448450500,0.349171735,0.000156246
1448450515,0.323249335,0.00121786
1448450530,0.29375722,0.003707371
1448450545,0.228023324,0.034471237
1448450560,0.143198133,0.070300777
1448450575,0.084961075,0.180617604
1448450590,0.090027908,0.196489364
1448450605,0.112529303,0.228556572
1448450620,0.068606126,0.151030728
1448450635,0.059715365,0.234549367
1448450650,0.110455755,0.233648221
1448450665,0.150703798,0.131744346
1448450680,0.204528176,0.162284176
1448450695,0.226164789,0.11957155
1448450710,0.196711598,0.141862099
1448450725,0.133039647,0.14729006
1448450740,0.09388617,0.180874224
1448450755,0.12210217,0.192111083
1448450770,0.173416744,0.039938918
1448450785,0.205103933,0.035446968
1448450800,0.178693191,0.003324224
1448450815,0.147806144,0.007517852
1448450830,0.170027204,0.021041555
1448450845,0.167304786,0.251174796
1448450860,0.111738234,0.247127478
1448450875,0.07846189,0.246937513
1448450890,0.083398654,0.230321602
1448450905,0.107974724,0.201498037
1448450920,0.11212701,0.221854974
1448450935,0.075546704,0.241602085
1448450950,0.059517464,0.230979215
1448450965,0.073571721,0.244068436
1448450980,0.082959748,0.230424289
1448450995,0.126032586,0.233299563
1448451010,0.134655415,0.239757519
1448451025,0.079172004,0.241422471
1448451040,0.056275961,0.217351941
1448451055,0.089671004,0.224445271
1448451070,0.097671478,0.225077985
1448451085,0.066889753,0.227747354
1448451100,0.064100431,0.159133917
1448451115,0.068111396,0.1772134
1448451130,0.080390622,0.226817923
1448451145,0.143490219,0.043130379
1448451160,0.213973581,0.013640872
1448451175,0.217107008,0.001772558
1448451190,0.199565153,0.011700341
1448451205,0.228488287,0.011865763
1448451220,0.250692845,0.010545456
1448451235,0.245554901,0.018309343
1448451250,0.276685056,0.001982801
1448451265,0.371496755,7.33E-05
1448451280,0.55637612,6.19E-06
1448451295,0.610540246,3.77E-06
1448451310,0.448768139,2.96E-06
1448451325,0.407507071,0.001792499
1448451340,0.432299009,0.000746907
1448451355,0.332367749,0.001016629
1448451370,0.257272729,0.003529138
1448451385,0.258587166,0.040072803
1448451400,0.258575848,0.056183092
1448451415,0.218730107,0.121757266
1448451430,0.125242864,0.243078856
1448451445,0.063039953,0.239934181
1448451460,0.09378938,0.127902414
1448451475,0.117772511,0.084530567
1448451490,0.079025285,0.071273345
1448451505,0.053218405,0.169775096
1448451520,0.045766715,0.2286262
1448451535,0.045450027,0.233085298
1448451550,0.104103048,0.24449656
1448451565,0.208386765,0.200837036
1448451580,0.268566392,0.061775129
1448451595,0.220191246,0.025089713
1448451610,0.138386889,0.066588854
1448451625,0.172801417,0.011544179
1448451640,0.196190275,0.07627314
1448451655,0.102663464,0.038406875
1448451670,0.06236734,0.203716736
1448451685,0.091948934,0.239131792
1448451700,0.115899362,0.230469892
1448451715,0.13519956,0.039065392
1448451730,0.185451859,0.010282205
1448451745,0.245290932,0.001662912
1448451760,0.287753355,0.00740063
1448451775,0.246140963,0.021956632
1448451790,0.151143003,0.105913496
1448451805,0.114393438,0.059337182
1448451820,0.142436368,0.132834701
1448451835,0.12156765,0.197934103
1448451850,0.047926455,0.183934762
1448451865,0.076786914,0.204903257
1448451880,0.154781126,0.244532268
1448451895,0.147599299,0.213374934
1448451910,0.099873636,0.060767801
1448451925,0.157288862,0.035908087
1448451940,0.21392779,0.044052619
1448451955,0.19118126,0.050756811
1448451970,0.216234396,0.046866523
1448451985,0.252221796,0.015632417
1448452000,0.181563286,0.03984873
1448452015,0.127917637,0.088045743
1448452030,0.190946719,0.212175333
1448452045,0.200044731,0.116947735
1448452060,0.148993232,0.165331482
1448452075,0.120263539,0.21103812
1448452090,0.101834277,0.102137747
1448452105,0.115943702,0.059815756
1448452120,0.133721509,0.040767172
1448452135,0.145757336,0.111497609
1448452150,0.176002821,0.040789228
1448452165,0.178726088,0.06111038
1448452180,0.112610449,0.100731328
1448452195,0.057594344,0.207879374
1448452210,0.107749912,0.200946412
1448452225,0.172538911,0.23720063
1448452240,0.153680016,0.089067828
1448452255,0.113814762,0.068610362
1448452270,0.121486253,0.107410187
1448452285,0.17385819,0.057388305
1448452300,0.214078542,0.018559183
1448452315,0.196480353,0.017665866
1448452330,0.189212619,0.062127141
1448452345,0.275830347,0.024997016
1448452360,0.326541871,0.063973476
1448452375,0.23639298,0.129497485
1448452390,0.187170554,0.038896481
1448452405,0.215531684,0.02452038
1448452420,0.193013151,0.028503945
1448452435,0.168643535,0.017978207
1448452450,0.210971019,0.023415498
1448452465,0.334948706,0.010878262
1448452480,0.397786786,0.00348905
1448452495,0.297957838,0.008235265
1448452510,0.162358923,0.083293936
1448452525,0.097222819,0.047146581
1448452540,0.170509078,0.02630739
1448452555,0.241223512,0.033412611
1448452570,0.208681315,0.097742411
1448452585,0.165698449,0.081668919
1448452600,0.150931232,0.044978418
1448452615,0.166058472,0.002680228
1448452630,0.266846299,0.001223963
1448452645,0.372192263,0.003249531
1448452660,0.308010057,0.048130744
1448452675,0.205880974,0.045454209
1448452690,0.179451565,0.009286197
1448452705,0.188188949,0.02920316
1448452720,0.221255628,0.072378081
1448452735,0.259561903,0.033749592
1448452750,0.282770168,0.041337161
1448452765,0.236760556,0.022311954
1448452780,0.1978355,0.011091171
1448452795,0.181095041,0.030759598
1448452810,0.128238683,0.037021987
1448452825,0.151596079,0.09362337
1448452840,0.14457975,0.095834832
1448452855,0.080431778,0.111731221
1448452870,0.088356807,0.189699158
1448452885,0.11091271,0.098270478
1448452900,0.134707537,0.037662667
1448452915,0.141533488,0.060457184
1448452930,0.140666186,0.051936309
1448452945,0.158523241,0.109638175
1448452960,0.220034822,0.047562792
1448452975,0.285310163,0.032383421
1448452990,0.283781037,0.004099113
1448453005,0.298084469,0.002396116
1448453020,0.317166771,0.003302949
1448453035,0.274743055,0.009879314
1448453050,0.262805607,0.000673874
1448453065,0.333164698,0.003359143
1448453080,0.36177075,0.013844275
1448453095,0.350414371,0.001343645
1448453110,0.394476474,0.002785666
1448453125,0.34796223,0.000678948
1448453140,0.304508701,0.001055084
1448453155,0.336971333,0.000764768
1448453170,0.239822827,0.002510109
1448453185,0.11763545,0.049174433
1448453200,0.089543622,0.117126704
1448453215,0.178034534,0.148888721
1448453230,0.251437765,0.032404466
1448453245,0.163113828,0.044874852
1448453260,0.12453533,0.119913049
1448453275,0.254432251,0.103602636
1448453290,0.331286938,0.107672047
1448453305,0.309711344,0.007945737
1448453320,0.249607831,0.016300912
1448453335,0.186609638,0.019554257
1448453350,0.142904001,0.041313512
1448453365,0.144608373,0.093599795
1448453380,0.366197795,0.003512848
1448453395,0.634570672,0.000243584
1448453410,0.565954533,2.56E-05
1448453425,0.348843286,2.25E-05
1448453440,0.315208406,0.005074329
1448453455,0.250734751,0.02859722
