,0,p_value
1448450170,0.107844645,0.064348737
1448450185,0.092033635,0.203098405
1448450200,0.061352153,0.217836727
1448450215,0.105166497,0.27600303
1448450230,0.147861265,0.203836389
1448450245,0.106125121,0.219642015
1448450260,0.076547085,0.34248272
1448450275,0.092575455,0.329160222
1448450290,0.14097555,0.223877559
1448450305,0.177997859,0.060496934
1448450320,0.151035032,0.057662476
1448450335,0.106532811,0.222500146
1448450350,0.080008385,0.234395449
1448450365,0.098157463,0.123752438
1448450380,0.181570904,0.02637268
1448450395,0.254445426,0.026903888
1448450410,0.233023996,0.029984776
1448450425,0.176184863,0.108142952
1448450440,0.146205311,0.127752402
1448450455,0.174076685,0.134823441
1448450470,0.213582426,0.033210285
1448450485,0.297593471,0.008077475
1448450500,0.363274168,0.009839507
1448450515,0.305417971,0.015148223
1448450530,0.215460812,0.018845405
1448450545,0.154464014,0.128210203
1448450560,0.114268558,0.278566458
1448450575,0.062115023,0.342897959
1448450590,0.040122741,0.323716399
1448450605,0.044816572,0.314728872
1448450620,0.039547573,0.298926433
1448450635,0.065977557,0.277601915
1448450650,0.122439496,0.094089167
1448450665,0.162387404,0.094250696
1448450680,0.190987919,0.067446299
1448450695,0.217760167,0.055668687
1448450710,0.227522713,0.060650818
1448450725,0.283610916,0.079906009
1448450740,0.380303606,0.062917862
1448450755,0.418018998,0.009510643
1448450770,0.436083109,0.008542365
1448450785,0.475203048,0.008518376
1448450800,0.424482793,0.00491242
1448450815,0.290818428,0.016884072
1448450830,0.293229633,0.022855904
1448450845,0.302616538,0.104294376
1448450860,0.219761401,0.06745366
1448450875,0.159498734,0.083252186
1448450890,0.108278377,0.15872242
1448450905,0.114040197,0.284751909
1448450920,0.174481135,0.295116092
1448450935,0.198191115,0.184878098
1448450950,0.20385538,0.115549178
1448450965,0.180461183,0.208028033
1448450980,0.098990382,0.338242656
1448450995,0.077131887,0.253654121
1448451010,0.089018682,0.298770262
1448451025,0.099965811,0.35077161
1448451040,0.095444452,0.322696808
1448451055,0.043982988,0.3191951
1448451070,0.026336559,0.310559771
1448451085,0.024109457,0.30558584
1448451100,0.062462675,0.329108104
1448451115,0.122943156,0.278229659
1448451130,0.1441147,0.348665223
1448451145,0.216639483,0.322727534
1448451160,0.267777119,0.073366878
1448451175,0.245611546,0.024785739
1448451190,0.241515617,0.037136482
1448451205,0.204382136,0.082189301
1448451220,0.192365028,0.033584228
1448451235,0.232781174,0.045782193
1448451250,0.248797609,0.005573214
1448451265,0.355492088,9.69E-05
1448451280,0.554345953,0.00021989
1448451295,0.551697283,0.001780431
1448451310,0.344242359,0.002412017
1448451325,0.31621534,0.033922509
1448451340,0.342398625,0.057593643
1448451355,0.189111607,0.058068679
1448451370,0.075853566,0.193103834
1448451385,0.073508505,0.343631355
1448451400,0.109842383,0.281521591
1448451415,0.133060166,0.336456823
1448451430,0.087531825,0.327863427
1448451445,0.043184372,0.339461442
1448451460,0.068372987,0.302214985
1448451475,0.123650131,0.238086469
1448451490,0.130586587,0.108811817
1448451505,0.10253973,0.092288148
1448451520,0.067756447,0.258408235
1448451535,0.066879971,0.183789716
1448451550,0.141519016,0.139312663
1448451565,0.154509037,0.114627654
1448451580,0.144587861,0.226009677
1448451595,0.163480222,0.132700368
1448451610,0.104249012,0.151870218
1448451625,0.052888557,0.153144136
1448451640,0.086897705,0.189531542
1448451655,0.125651278,0.034032696
1448451670,0.154766468,0.017372205
1448451685,0.222787007,0.03471915
1448451700,0.23029083,0.052505943
1448451715,0.170147168,0.025188864
1448451730,0.140046341,0.024306956
1448451745,0.190872424,0.002459367
1448451760,0.316722662,0.005309292
1448451775,0.343232358,0.000441977
1448451790,0.265142515,0.006479591
1448451805,0.1990668,0.016260993
1448451820,0.172676273,0.102921596
1448451835,0.134403043,0.203614966
1448451850,0.074733628,0.253248653
1448451865,0.086221555,0.319271
1448451880,0.123220262,0.318596775
1448451895,0.11194409,0.213772349
1448451910,0.119157684,0.256257709
1448451925,0.17181903,0.299003903
1448451940,0.219544325,0.174456495
1448451955,0.249137075,0.16704249
1448451970,0.276310576,0.123498354
1448451985,0.25353111,0.092140842
1448452000,0.186476309,0.091330905
1448452015,0.189883983,0.184299896
1448452030,0.201268995,0.355883529
1448452045,0.15161766,0.353907474
1448452060,0.124289163,0.354342573
1448452075,0.092509505,0.319359696
1448452090,0.05673699,0.329619839
1448452105,0.06652948,0.325618605
1448452120,0.072627274,0.286531143
1448452135,0.145795696,0.33584922
1448452150,0.223894255,0.210494224
1448452165,0.184996151,0.049065288
1448452180,0.15704554,0.042783875
1448452195,0.156781968,0.273782586
1448452210,0.09555944,0.34069575
1448452225,0.058582587,0.341877383
1448452240,0.08764383,0.30410859
1448452255,0.092051583,0.269375812
1448452270,0.082911464,0.315367437
1448452285,0.116222572,0.306109098
1448452300,0.177637626,0.111528663
1448452315,0.227429253,0.059385765
1448452330,0.190791407,0.123071901
1448452345,0.170523593,0.20359117
1448452360,0.236649243,0.194902436
1448452375,0.221989468,0.1372894
1448452390,0.145645442,0.068868827
1448452405,0.176019184,0.054000109
1448452420,0.192839387,0.069379458
1448452435,0.133093879,0.068434469
