,0,p_value
1448363833,0.08998381,0.086839138
1448363848,0.135322325,0.182271075
1448363863,0.151023631,0.081932368
1448363878,0.122705999,0.140456145
1448363893,0.106914204,0.201275251
1448363908,0.096053577,0.256742251
1448363923,0.125547348,0.338776232
1448363938,0.176515295,0.074018927
1448363953,0.189435859,0.086397129
1448363968,0.344126419,0.08305995
1448363983,0.623772799,0.158128636
1448363998,0.680281792,0.305068152
1448364013,0.484453687,0.213276284
1448364028,0.314810765,0.177875646
1448364043,0.204613001,0.042457634
1448364058,0.159509682,0.046298353
1448364073,0.193023027,0.051434701
1448364088,0.207448959,0.057929241
1448364103,0.198599268,0.059519886
1448364118,0.208716364,0.05227967
1448364133,0.204536509,0.067463169
1448364148,0.23061746,0.032039676
1448364163,0.299772565,0.01968218
1448364178,0.278556642,0.013898869
1448364193,0.202247236,0.023307069
1448364208,0.13437621,0.118750985
1448364223,0.091549063,0.524045556
1448364238,0.073288471,0.538331491
1448364253,0.05700704,0.523808314
1448364268,0.066549372,0.150333873
1448364283,0.1694656,0.476445095
1448364298,0.282439088,0.19083481
1448364313,0.229167234,0.051779369
1448364328,0.145521046,0.132115692
1448364343,0.11636984,0.07114968
1448364358,0.144430499,0.097759861
1448364373,0.23303817,0.04761472
1448364388,0.428114626,0.022039622
1448364403,0.61427445,0.012130529
1448364418,0.525992613,0.00377969
1448364433,0.389680677,0.024947525
1448364448,0.410407703,0.032570308
1448364463,0.379599701,0.047594859
1448364478,0.298629877,0.015399765
1448364493,0.311069705,0.007319415
1448364508,0.259216466,0.036503986
1448364523,0.174210964,0.041385957
1448364538,0.133607626,0.035686676
1448364553,0.06898711,0.118910331
1448364568,0.039442996,0.541842672
1448364583,0.078317682,0.540627443
1448364598,0.138121322,0.530039563
1448364613,0.185131744,0.272537033
1448364628,0.172316449,0.37947913
1448364643,0.101638386,0.531117151
1448364658,0.100451446,0.555920717
1448364673,0.135510395,0.300375884
1448364688,0.150186161,0.341779316
1448364703,0.130840343,0.564972243
1448364718,0.057401604,0.521790052
1448364733,0.01974002,0.384169212
1448364748,0.016536626,0.408060377
1448364763,0.070744558,0.535824098
1448364778,0.194743658,0.496585187
1448364793,0.316323557,0.447874002
1448364808,0.334830265,0.476635449
1448364823,0.247807249,0.105322215
1448364838,0.153853491,0.177933662
1448364853,0.157068234,0.197667982
1448364868,0.193337686,0.072422372
1448364883,0.224375392,0.005943022
1448364898,0.282220708,0.008502588
1448364913,0.289090623,0.014462599
1448364928,0.252132298,0.005971479
1448364943,0.324014916,0.082948698
1448364958,0.37840778,0.187910926
1448364973,0.21508794,0.221713776
1448364988,0.097915128,0.263219158
1448365003,0.07575759,0.496266713
1448365018,0.043980876,0.484057003
1448365033,0.029456891,0.513268478
1448365048,0.021257297,0.318516036
1448365063,0.022318138,0.235251189
1448365078,0.044852392,0.517617931
1448365093,0.055761428,0.502980077
1448365108,0.056143759,0.537342508
1448365123,0.055125601,0.482600108
1448365138,0.059021192,0.437515269
1448365153,0.068086421,0.459759528
1448365168,0.064400598,0.502249848
1448365183,0.043644873,0.54284355
1448365198,0.036099714,0.453058443
1448365213,0.091907696,0.128670888
1448365228,0.213336668,0.057318189
1448365243,0.350131432,0.064873149
1448365258,0.308866767,0.065918271
1448365273,0.133456935,0.111504265
1448365288,0.065903196,0.381637853
1448365303,0.090598394,0.189123469
1448365318,0.137396759,0.056491922
1448365333,0.167836238,0.019723757
1448365348,0.180537801,0.112763815
1448365363,0.147514804,0.220034486
1448365378,0.092197179,0.140544431
1448365393,0.100324405,0.187732723
1448365408,0.113801924,0.113370469
1448365423,0.121901445,0.070090269
1448365438,0.140640706,0.009538612
1448365453,0.159823543,0.021941428
1448365468,0.14243069,0.100048799
1448365483,0.09116866,0.371598912
1448365498,0.084243557,0.543069984
1448365513,0.079181209,0.454013302
1448365528,0.038166745,0.410501905
1448365543,0.027298113,0.500429255
1448365558,0.066027087,0.471390761
1448365573,0.125366374,0.322868938
1448365588,0.131831974,0.332363551
1448365603,0.104687241,0.297433936
1448365618,0.106133067,0.381509902
1448365633,0.094984896,0.521737482
1448365648,0.056664005,0.499182137
1448365663,0.087414921,0.565417791
1448365678,0.148707483,0.531055323
1448365693,0.115324475,0.553672369
1448365708,0.064933233,0.43383332
1448365723,0.062380524,0.538309401
1448365738,0.043260631,0.480396298
1448365753,0.018233418,0.513765424
1448365768,0.015530833,0.477087647
1448365783,0.025592902,0.510210609
1448365798,0.119711044,0.42131076
1448365813,0.2149205,0.229964025
1448365828,0.179081428,0.038035638
1448365843,0.152329251,0.033024761
1448365858,0.17803818,0.184121933
1448365873,0.134731364,0.297716529
1448365888,0.085043033,0.534495773
1448365903,0.082182157,0.536592633
1448365918,0.087911264,0.514103134
1448365933,0.09940005,0.491105145
1448365948,0.14413917,0.251442442
1448365963,0.189244286,0.130643879
1448365978,0.219133494,0.092636505
1448365993,0.167713158,0.185597942
