,0,p_value
1448363833,0.079241213,0.09240615
1448363848,0.093370454,0.169080144
1448363863,0.120949461,0.10773876
1448363878,0.116712396,0.201368749
1448363893,0.101564746,0.22270032
1448363908,0.075096462,0.24360705
1448363923,0.069497109,0.229417651
1448363938,0.11272034,0.19768536
1448363953,0.153826761,0.147622409
1448363968,0.160776258,0.079986207
1448363983,0.155317355,0.081634971
1448363998,0.119514485,0.157147686
1448364013,0.079592382,0.181074788
1448364028,0.104863612,0.098816015
1448364043,0.242148831,0.012075104
1448364058,0.382965917,0.006310596
1448364073,0.375771464,0.005435253
1448364088,0.368345686,0.012705456
1448364103,0.387081584,0.064127124
1448364118,0.266484702,0.04188358
1448364133,0.176557536,0.032464769
1448364148,0.255387415,0.006348957
1448364163,0.31140144,0.00325951
1448364178,0.27666724,0.018177696
1448364193,0.216927371,0.037301744
1448364208,0.166131817,0.116784991
1448364223,0.146785059,0.180199703
1448364238,0.120940329,0.191342491
1448364253,0.089000531,0.19585407
1448364268,0.104542576,0.116363695
1448364283,0.160836984,0.093482287
1448364298,0.229750033,0.157477673
1448364313,0.228037201,0.091808478
1448364328,0.219779004,0.043314991
1448364343,0.278510553,0.040000775
1448364358,0.309674333,0.06045001
1448364373,0.329119315,0.027600894
1448364388,0.382823532,0.022473109
1448364403,0.438516743,0.021823975
1448364418,0.427866659,0.012421626
1448364433,0.400420478,0.018803242
1448364448,0.452090784,0.018611865
1448364463,0.402553961,0.003693578
1448364478,0.273432017,0.002933466
1448364493,0.280017556,0.005896108
1448364508,0.26450135,0.066293862
1448364523,0.173400997,0.118502798
1448364538,0.11675891,0.172056054
1448364553,0.076697218,0.238204391
1448364568,0.06799015,0.222715261
1448364583,0.086721986,0.228603085
1448364598,0.087693122,0.22378674
1448364613,0.069999889,0.225075045
1448364628,0.056728178,0.233704099
1448364643,0.080570764,0.217823473
1448364658,0.160556711,0.209375795
1448364673,0.175657783,0.217960548
1448364688,0.140820288,0.192873386
1448364703,0.132459337,0.17395491
1448364718,0.124012872,0.194532402
1448364733,0.103447702,0.227377546
1448364748,0.073970729,0.230413988
1448364763,0.112404127,0.220876414
1448364778,0.155752224,0.232671579
1448364793,0.159861367,0.185497598
1448364808,0.243435214,0.133528312
1448364823,0.330409872,0.083447765
1448364838,0.254972871,0.014247355
1448364853,0.217584869,0.008346493
1448364868,0.319034629,0.003034307
1448364883,0.40171107,0.00044261
1448364898,0.40278583,0.003710878
1448364913,0.382472913,0.001491611
1448364928,0.479522689,7.92E-05
1448364943,0.71035708,9.03E-05
1448364958,0.692838495,4.97E-05
1448364973,0.391077207,0.000154955
1448364988,0.27369054,0.030579709
1448365003,0.254708302,0.055849639
1448365018,0.191170328,0.061798386
1448365033,0.192784059,0.105849266
1448365048,0.230548986,0.167624907
1448365063,0.246814796,0.168000429
1448365078,0.20305446,0.167098894
1448365093,0.102627913,0.230839634
1448365108,0.030583122,0.219390141
1448365123,0.063049879,0.153417716
1448365138,0.126123549,0.127881317
1448365153,0.099770832,0.124431432
1448365168,0.05291844,0.211422993
1448365183,0.039152749,0.202295088
1448365198,0.043957705,0.21071262
1448365213,0.145655163,0.170723718
1448365228,0.295851926,0.081106759
1448365243,0.387398263,0.031929036
1448365258,0.326534633,0.017838001
1448365273,0.147193837,0.147040456
1448365288,0.073434436,0.128436367
1448365303,0.10200245,0.178872124
1448365318,0.094875939,0.109648748
1448365333,0.103564183,0.11103155
1448365348,0.162375256,0.164549526
1448365363,0.172626117,0.13057886
1448365378,0.148233418,0.126696771
1448365393,0.155398578,0.078001592
1448365408,0.193105702,0.018678343
1448365423,0.243145818,0.003345678
1448365438,0.253350828,0.002690982
1448365453,0.217113852,0.07456996
1448365468,0.165969232,0.081739947
1448365483,0.157985866,0.184427422
1448365498,0.136125934,0.246264286
1448365513,0.065621705,0.222849681
1448365528,0.042791511,0.177090821
1448365543,0.097679968,0.230103673
1448365558,0.136059948,0.218123067
1448365573,0.095356946,0.193387384
1448365588,0.098444927,0.221350442
1448365603,0.157920359,0.234237267
1448365618,0.146077241,0.171089537
1448365633,0.115919853,0.165563574
1448365648,0.123232497,0.111312366
1448365663,0.141149904,0.095543908
1448365678,0.189030097,0.155681246
1448365693,0.215568956,0.21805172
1448365708,0.172471903,0.201444895
1448365723,0.129654526,0.226619591
1448365738,0.107871556,0.193806654
1448365753,0.088943202,0.143781646
1448365768,0.119539022,0.099299137
1448365783,0.160598239,0.055172705
1448365798,0.213235347,0.076992285
1448365813,0.243466048,0.096495882
1448365828,0.155248417,0.097584136
1448365843,0.097314737,0.089873607
1448365858,0.121515199,0.171633475
1448365873,0.111536416,0.23472858
1448365888,0.099554723,0.224614462
1448365903,0.124356881,0.158805326
1448365918,0.125313462,0.172998686
1448365933,0.111446102,0.160111824
1448365948,0.163319585,0.052838788
1448365963,0.232407801,0.008735304
1448365978,0.280205903,0.016682566
1448365993,0.254314164,0.056311263
1448366008,0.236712884,0.048623088
1448366023,0.294549895,0.060206536
1448366038,0.269058665,0.081013028
1448366053,0.224771258,0.034416889
1448366068,0.252776808,0.021643831
1448366083,0.232173807,0.046054865
1448366098,0.169264992,0.059571508
1448366113,0.164619814,0.069091322
1448366128,0.235928701,0.05699772
1448366143,0.307795067,0.004596126
1448366158,0.283304487,0.014237021
1448366173,0.178516535,0.081394611
1448366188,0.087054084,0.129179246
1448366203,0.087436089,0.073190365
1448366218,0.203790191,0.083349486
1448366233,0.285349051,0.037750908
1448366248,0.320714677,0.001998355
1448366263,0.345236695,0.001275349
1448366278,0.255944593,0.000402684
1448366293,0.278013035,0.004058657
1448366308,0.429296711,0.019659171
1448366323,0.392815815,0.021175039
1448366338,0.246885732,0.04104966
1448366353,0.163457105,0.068476137
1448366368,0.155550216,0.102608022
1448366383,0.17009655,0.12062848
1448366398,0.200326201,0.076691128
1448366413,0.253852549,0.087165742
1448366428,0.203135973,0.067796092
1448366443,0.141781286,0.044983803
1448366458,0.173332344,0.11562229
1448366473,0.190241403,0.148254342
1448366488,0.169419041,0.157634004
1448366503,0.14122689,0.131048267
1448366518,0.133717176,0.188438115
1448366533,0.170443109,0.166406042
1448366548,0.20718453,0.112983514
1448366563,0.212129374,0.054969827
1448366578,0.146680104,0.148740565
1448366593,0.094094725,0.194089889
1448366608,0.150989892,0.18862903
1448366623,0.272991136,0.148484018
1448366638,0.35000339,0.073186028
1448366653,0.299858326,0.005859723
1448366668,0.30963271,0.00306746
1448366683,0.335270751,0.003879687
1448366698,0.233048971,0.013188474
1448366713,0.270653698,0.007087894
1448366728,0.411942401,0.007839648
1448366743,0.437529472,0.003101324
1448366758,0.408866168,0.002228373
1448366773,0.408390092,0.018133824
1448366788,0.325887677,0.023504927
1448366803,0.237274092,0.013086853
1448366818,0.265875069,0.014947418
1448366833,0.256566603,0.015014847
1448366848,0.167140579,0.033383053
1448366863,0.130249032,0.045569467
1448366878,0.231049789,0.083363925
1448366893,0.292266802,0.061148377
1448366908,0.184690109,0.105504163
1448366923,0.145335701,0.071205955
1448366938,0.33532417,0.034231755
1448366953,0.45031533,0.013744116
1448366968,0.340697106,0.001941954
1448366983,0.251380727,0.01282717
1448366998,0.218183094,0.045447664
1448367013,0.152867143,0.116081933
1448367028,0.117156587,0.146468977
1448367043,0.317991821,0.007510015
1448367058,0.65203119,0.000625714
1448367073,0.644316532,4.08E-05
1448367088,0.412704269,9.82E-05
1448367103,0.264680863,0.026662979
1448367118,0.148912589,0.062788444
1448367133,0.091711578,0.117970589
1448367148,0.161949979,0.156959089
1448367163,0.205748241,0.132536799
1448367178,0.117625304,0.108975775
1448367193,0.041492114,0.228897382
1448367208,0.028880777,0.14919194
1448367223,0.071113348,0.218993468
1448367238,0.144829405,0.232001613
1448367253,0.176595942,0.169036493
1448367268,0.169726712,0.168780287
1448367283,0.143193872,0.105362763
1448367298,0.157643898,0.031910376
1448367313,0.276791939,0.037366506
1448367328,0.35067508,0.043083331
1448367343,0.257278343,0.16104936
1448367358,0.148860222,0.159620716
1448367373,0.153305709,0.170690525
1448367388,0.195303701,0.054656291
1448367403,0.310242082,0.014563634
1448367418,0.354433257,0.032481472
1448367433,0.191836771,0.060609041
1448367448,0.142572219,0.080733013
1448367463,0.356185671,0.063951113
1448367478,0.459955377,0.067682289
1448367493,0.321201187,0.047964017
1448367508,0.240618369,0.084296898
1448367523,0.252165648,0.040895865
1448367538,0.308245199,0.018314466
1448367553,0.298186865,0.009037639
1448367568,0.280473432,0.012356981
1448367583,0.334326732,0.006118001
1448367598,0.399873441,0.004528691
1448367613,0.39079714,0.005946396
1448367628,0.238346535,0.010416002
1448367643,0.101682974,0.074856799
1448367658,0.069110773,0.172195683
1448367673,0.111566576,0.159291134
1448367688,0.171436551,0.015431597
1448367703,0.264100013,0.008151715
1448367718,0.294294083,0.013599693
1448367733,0.226007979,0.008051059
1448367748,0.189475776,0.017991562
1448367763,0.174162012,0.032926865
1448367778,0.185163154,0.055568445
1448367793,0.21585844,0.087027442
1448367808,0.199436487,0.066110108
1448367823,0.224381434,0.083361896
1448367838,0.227970459,0.0556794
1448367853,0.169509306,0.033634189
1448367868,0.131151587,0.085772438
1448367883,0.110295732,0.181857291
1448367898,0.137919007,0.133445483
1448367913,0.16979484,0.07752634
1448367928,0.211354505,0.019610081
1448367943,0.246370143,0.018900757
1448367958,0.198729234,0.030059123
1448367973,0.207602655,0.046263385
1448367988,0.32425871,0.03746314
1448368003,0.401859628,0.004853674
1448368018,0.434445485,0.010891097
1448368033,0.396543486,0.007056077
1448368048,0.330802859,0.002196358
1448368063,0.29043496,0.012215128
1448368078,0.286207433,0.001256318
1448368093,0.278628233,0.001419943
1448368108,0.226307349,0.022194629
1448368123,0.205524037,0.036801898
1448368138,0.176601974,0.097480621
1448368153,0.110937251,0.136448861
1448368168,0.075101858,0.215683676
1448368183,0.171952378,0.080446818
1448368198,0.369432784,0.013962323
1448368213,0.409170474,0.009445082
1448368228,0.284154043,0.000667965
1448368243,0.247711763,0.003607602
1448368258,0.292116693,0.006089549
1448368273,0.170652673,0.061899398
1448368288,0.028761809,0.196361955
1448368303,0,0.027847533
1448369297,0.134725865,0.21801643
1448369312,0.106873632,0.091330904
1448369327,0.124681501,0.142433299
1448369342,0.192403976,0.058068528
1448369357,0.212094503,0.079776931
1448369372,0.156895644,0.059711184
1448369387,0.174408548,0.033093982
1448369402,0.250609705,0.017634683
1448369417,0.27744872,0.00740638
1448369432,0.319122242,0.010868135
1448369447,0.309723986,0.088119735
1448369462,0.219044196,0.100889345
1448369477,0.224039329,0.064952773
1448369492,0.247766372,0.021169177
1448369507,0.211940584,0.014871511
1448369522,0.191089003,0.046663229
1448369537,0.150152609,0.173902071
1448369552,0.105141221,0.211321904
1448369567,0.091449551,0.232068872
1448369582,0.080620246,0.235551583
1448369597,0.100876936,0.239445211
1448369612,0.110946707,0.159196522
1448369627,0.15750803,0.152952071
1448369642,0.240786872,0.121282988
1448369657,0.242370762,0.024759109
1448369672,0.413791812,0.005790466
1448369687,0.609518349,0.003330996
1448369702,0.429809356,0.005380286
1448369717,0.152021417,0.043217943
1448369732,0.075599414,0.230343543
1448369747,0.095534283,0.233197849
1448369762,0.083081734,0.217651523
1448369777,0.073008365,0.213456464
1448369792,0.08830657,0.238346285
1448369807,0.082451389,0.203849006
1448369822,0.063650856,0.206638126
1448369837,0.069827282,0.225752726
1448369852,0.129509521,0.107776559
1448369867,0.221731932,0.026362143
1448369882,0.287493333,0.040471681
1448369897,0.252494529,0.095112554
1448369912,0.166500844,0.141642193
1448369927,0.147984453,0.243024925
1448369942,0.174886311,0.078872409
1448369957,0.240251047,0.067693262
1448369972,0.283989207,0.051367066
1448369987,0.23981048,0.062681338
1448370002,0.159833952,0.051011283
1448370017,0.143073583,0.035973447
1448370032,0.216244473,0.046767128
1448370047,0.219101384,0.06407404
1448370062,0.161236796,0.112673186
1448370077,0.215013212,0.052678236
1448370092,0.261495309,0.051165734
1448370107,0.172780006,0.083457981
1448370122,0.110707612,0.176438478
1448370137,0.195891598,0.055448873
1448370152,0.233428392,0.077977105
1448370167,0.160615473,0.033354971
1448370182,0.248676388,0.095893583
1448370197,0.387669254,0.03983632
1448370212,0.32540776,0.032208045
1448370227,0.225815253,0.009039142
1448370242,0.211592746,0.035566468
1448370257,0.222206053,0.047497596
1448370272,0.203355148,0.074000553
1448370287,0.169508689,0.043935467
1448370302,0.171030202,0.028251986
1448370317,0.1890735,0.023089411
1448370332,0.243753091,0.000897479
1448370347,0.281280898,0.002249075
1448370362,0.216875778,0.011658185
1448370377,0.11163792,0.224018338
1448370392,0.054538723,0.229009094
1448370407,0.057841567,0.219309282
1448370422,0.084572642,0.220942044
1448370437,0.063102772,0.202867846
1448370452,0.039107886,0.213058381
1448370467,0.164280105,0.028370023
1448370482,0.242366121,0.003404985
1448370497,0.153468672,0.03446464
1448370512,0.109665428,0.194187385
1448370527,0.132844255,0.202810761
1448370542,0.150589043,0.081643634
1448370557,0.222339535,0.019546086
1448370572,0.234523702,0.036042502
1448370587,0.17409081,0.116211503
1448370602,0.20934599,0.212056133
1448370617,0.264662021,0.126997957
1448370632,0.251700733,0.019703296
1448370647,0.2059481,0.02014978
1448370662,0.203812059,0.066174486
1448370677,0.189850155,0.21175395
1448370692,0.123302042,0.240952334
1448370707,0.074335484,0.174158569
1448370722,0.054447706,0.184268056
1448370737,0.038862061,0.111515044
1448370752,0.039258234,0.205355112
1448370767,0.122918054,0.240404814
1448370782,0.256081802,0.106104393
1448370797,0.285732888,0.07280165
1448370812,0.24452052,0.096654576
1448370827,0.236334898,0.096305929
1448370842,0.23208037,0.16454272
