,0,p_value
1448363833,0.154775885,0.26642271
1448363848,0.139593346,0.208514936
1448363863,0.082748273,0.156752912
1448363878,0.081058922,0.277029781
1448363893,0.072753795,0.23701232
1448363908,0.037887603,0.46776928
1448363923,0.024558828,0.374696498
1448363938,0.082507088,0.282454813
1448363953,0.110696215,0.168369022
1448363968,0.079129249,0.409194992
1448363983,0.074835262,0.354496844
1448363998,0.091394242,0.376377161
1448364013,0.147789148,0.420385362
1448364028,0.160649709,0.29787096
1448364043,0.15364723,0.160007718
1448364058,0.217928152,0.058377976
1448364073,0.252958835,0.0183355
1448364088,0.311277322,0.003001365
1448364103,0.390835477,0.00482845
1448364118,0.299938603,0.002930246
1448364133,0.163816502,0.003685118
1448364148,0.170608777,0.001334298
1448364163,0.196661301,0.001570609
1448364178,0.222335586,0.004642845
1448364193,0.264581897,0.011895763
1448364208,0.21258009,0.02525901
1448364223,0.131387382,0.153508247
1448364238,0.097654146,0.222468359
1448364253,0.109422072,0.176791573
1448364268,0.145637463,0.119560544
1448364283,0.179699899,0.128135919
1448364298,0.233961583,0.293770688
1448364313,0.200719246,0.270559627
1448364328,0.141125055,0.179533217
1448364343,0.157442375,0.290403702
1448364358,0.160293782,0.23875748
1448364373,0.162704444,0.149427316
1448364388,0.181891305,0.206575116
1448364403,0.163450967,0.226136561
1448364418,0.107476896,0.311326326
1448364433,0.102753908,0.045851719
1448364448,0.132387641,0.067556371
1448364463,0.102144059,0.022820245
1448364478,0.092989179,0.010922367
1448364493,0.13036847,0.031973135
1448364508,0.110590689,0.440301661
1448364523,0.058079768,0.43474268
1448364538,0.045711826,0.372186507
1448364553,0.062374972,0.409616546
1448364568,0.070423066,0.389584723
1448364583,0.048137789,0.431348905
1448364598,0.015098629,0.356120311
1448364613,0.009892848,0.394162662
1448364628,0.040615921,0.447916443
1448364643,0.078953028,0.382131991
1448364658,0.125313178,0.214908652
1448364673,0.144293786,0.17507987
1448364688,0.091387396,0.37875456
1448364703,0.057931086,0.317559962
1448364718,0.112653223,0.268962303
1448364733,0.117017186,0.457253589
1448364748,0.038889125,0.363409676
1448364763,0.006212826,0.231069113
1448364778,0.053187466,0.386131327
1448364793,0.154827389,0.429449171
1448364808,0.175285533,0.073017757
1448364823,0.147288645,0.018307056
1448364838,0.120678661,0.015638617
1448364853,0.08430968,0.103806091
1448364868,0.157576079,0.01453272
1448364883,0.261894911,0.005029673
1448364898,0.283211848,0.012004819
1448364913,0.289178031,0.003208987
1448364928,0.239672111,0.000986388
1448364943,0.322516295,0.00657833
1448364958,0.493834986,0.006233494
1448364973,0.396388572,0.002773602
1448364988,0.267952903,0.021299824
1448365003,0.242642507,0.054240702
1448365018,0.2122191,0.069054287
1448365033,0.210536466,0.038682488
1448365048,0.220863353,0.130746693
1448365063,0.205214698,0.121308749
1448365078,0.173644644,0.23916808
1448365093,0.115107391,0.461416965
1448365108,0.07883697,0.450499668
1448365123,0.078995892,0.413028339
1448365138,0.050894209,0.398092288
1448365153,0.019670579,0.394822714
1448365168,0.022912849,0.424349635
1448365183,0.030647824,0.405587768
1448365198,0.020440325,0.415158895
1448365213,0.037177584,0.419720749
1448365228,0.225787048,0.159213846
1448365243,0.447031902,0.012024952
1448365258,0.357447412,0.008398906
1448365273,0.170398463,0.030805119
1448365288,0.215938088,0.031007095
1448365303,0.223396376,0.163458781
1448365318,0.094535436,0.123720729
1448365333,0.046710727,0.461266704
1448365348,0.043279419,0.387663829
1448365363,0.050116426,0.405760072
1448365378,0.093169167,0.127600428
1448365393,0.198581777,0.014129215
1448365408,0.242221412,0.016266738
1448365423,0.184398577,0.080087589
1448365438,0.112100911,0.236702882
1448365453,0.065633328,0.296457371
1448365468,0.069060632,0.2770377
1448365483,0.097388022,0.363158535
1448365498,0.097406848,0.439846578
1448365513,0.051677724,0.422071745
1448365528,0.024767947,0.290659295
1448365543,0.018540753,0.211957644
1448365558,0.019458746,0.362553113
1448365573,0.044339434,0.250450497
1448365588,0.107387324,0.121898689
1448365603,0.11629951,0.278475717
1448365618,0.054859576,0.342909415
1448365633,0.04498842,0.456933251
1448365648,0.091316445,0.444680587
1448365663,0.089649862,0.427428752
1448365678,0.066485795,0.424436923
1448365693,0.127751712,0.445997479
1448365708,0.158347193,0.394230588
1448365723,0.108793018,0.356108175
1448365738,0.081563466,0.42631255
1448365753,0.072499282,0.143612452
1448365768,0.07149249,0.101868386
1448365783,0.086679519,0.087612557
1448365798,0.117934348,0.140279157
1448365813,0.181758566,0.097071932
1448365828,0.20062394,0.131125936
1448365843,0.104451339,0.189455406
1448365858,0.03486593,0.393544907
1448365873,0.118153545,0.390954041
1448365888,0.213347105,0.432152389
1448365903,0.167967718,0.149574103
1448365918,0.103122482,0.160238387
1448365933,0.11029465,0.2996949
1448365948,0.151620499,0.09812643
1448365963,0.193044147,0.094931807
1448365978,0.187706741,0.053994169
1448365993,0.194497765,0.168077064
1448366008,0.22997366,0.084820307
1448366023,0.193462554,0.142487185
1448366038,0.134145959,0.317140353
1448366053,0.161340045,0.17912913
1448366068,0.174914013,0.103583037
1448366083,0.154181043,0.113133888
1448366098,0.168421121,0.102154438
1448366113,0.179834511,0.115153996
1448366128,0.216962461,0.306842162
1448366143,0.202253468,0.047610916
1448366158,0.12755148,0.053067035
1448366173,0.095785887,0.329293518
1448366188,0.085198601,0.399202832
1448366203,0.124929137,0.247699635
1448366218,0.177298304,0.144835524
1448366233,0.174127649,0.174793475
1448366248,0.144809602,0.134299112
1448366263,0.139317621,0.032356267
1448366278,0.132062685,0.032410948
1448366293,0.064896045,0.091619534
1448366308,0.029732859,0.425175336
1448366323,0.079229088,0.403714046
1448366338,0.107069785,0.480402203
1448366353,0.091460167,0.337802015
1448366368,0.066858799,0.490819574
1448366383,0.063698219,0.471179668
1448366398,0.125757057,0.114100671
1448366413,0.178414689,0.078189208
1448366428,0.149588916,0.234869141
1448366443,0.113665331,0.122939505
1448366458,0.142821231,0.160841388
1448366473,0.188333131,0.053391919
1448366488,0.244918646,0.067682328
1448366503,0.172061644,0.15516145
1448366518,0.04031657,0.330287515
1448366533,0.062359097,0.452377463
1448366548,0.101115386,0.20402515
1448366563,0.156061477,0.049680503
1448366578,0.17178988,0.116254022
1448366593,0.099902616,0.035324609
1448366608,0.083515597,0.071499683
1448366623,0.119155643,0.082066572
1448366638,0.120260245,0.100627274
1448366653,0.140738821,0.031961685
1448366668,0.233571811,0.015398388
1448366683,0.313932087,0.027942748
1448366698,0.299729069,0.053403741
1448366713,0.237020772,0.020644445
1448366728,0.167190874,0.042277921
1448366743,0.120477327,0.20105809
1448366758,0.156820984,0.054423737
1448366773,0.170647982,0.126216685
1448366788,0.107858413,0.357322249
1448366803,0.14216238,0.420378795
1448366818,0.265770418,0.028976281
1448366833,0.227163315,0.016641672
1448366848,0.10332646,0.028241855
1448366863,0.096793242,0.160669603
1448366878,0.129017595,0.402285515
1448366893,0.105477258,0.150317323
1448366908,0.098786619,0.246286562
1448366923,0.134359335,0.443198806
1448366938,0.115761975,0.466148402
1448366953,0.057494251,0.394062143
1448366968,0.042420256,0.448270963
1448366983,0.059550277,0.164133054
1448366998,0.107686989,0.15574862
1448367013,0.12843624,0.316169853
1448367028,0.154269017,0.278404193
1448367043,0.271868486,0.04016348
1448367058,0.351127399,0.002492966
1448367073,0.315391943,0.002694049
1448367088,0.20466125,0.082953127
1448367103,0.158651201,0.204755583
1448367118,0.128373255,0.437014091
1448367133,0.047834172,0.414709789
1448367148,0.051698698,0.397521227
1448367163,0.09847377,0.452586178
1448367178,0.085400667,0.417798723
1448367193,0.063958031,0.397438258
1448367208,0.069437793,0.395174778
1448367223,0.108743091,0.444265993
1448367238,0.185576887,0.357737803
1448367253,0.199841373,0.266781715
1448367268,0.147761338,0.371791751
1448367283,0.087987918,0.359376646
1448367298,0.101711375,0.40432426
1448367313,0.152022767,0.434738205
1448367328,0.144516247,0.198303117
1448367343,0.139489144,0.320556944
1448367358,0.147310694,0.332129572
1448367373,0.119703524,0.351247895
1448367388,0.088139266,0.271808128
1448367403,0.110091195,0.391038103
1448367418,0.140966077,0.365883944
1448367433,0.115255556,0.342293536
1448367448,0.097333565,0.108601962
1448367463,0.190774136,0.021958704
1448367478,0.314230279,0.103066674
1448367493,0.299688243,0.305764626
1448367508,0.187114692,0.133568805
1448367523,0.146224674,0.135409202
1448367538,0.155284346,0.019709979
1448367553,0.149547334,0.042585136
1448367568,0.145971462,0.142904894
1448367583,0.135564225,0.119714997
1448367598,0.118292591,0.152693901
1448367613,0.192327037,0.02324175
1448367628,0.313021819,0.041572374
1448367643,0.235979914,0.030417525
1448367658,0.074590932,0.09373277
1448367673,0.04183974,0.428797012
1448367688,0.135691326,0.074030221
1448367703,0.276782314,0.06373211
1448367718,0.268463373,0.07172402
1448367733,0.156220013,0.144782514
1448367748,0.122658547,0.082545445
1448367763,0.12799176,0.053691467
1448367778,0.141093641,0.109198523
1448367793,0.131167364,0.174012266
1448367808,0.120173729,0.087982221
1448367823,0.171994023,0.20121594
1448367838,0.181050458,0.305884694
1448367853,0.125044575,0.069506912
1448367868,0.086998288,0.137275516
1448367883,0.059671203,0.384947587
1448367898,0.038442948,0.353443324
1448367913,0.085399725,0.258637549
1448367928,0.145150753,0.319091871
1448367943,0.130378909,0.169564509
1448367958,0.109736901,0.216745831
1448367973,0.149878077,0.084804482
1448367988,0.1905157,0.234608563
1448368003,0.197698123,0.05841134
1448368018,0.253323391,0.094318044
1448368033,0.255034034,0.233537982
1448368048,0.206110437,0.09035215
1448368063,0.187692565,0.062035435
1448368078,0.162242223,0.014405086
1448368093,0.14013221,0.064401663
1448368108,0.109394615,0.125505102
1448368123,0.167931948,0.16675861
1448368138,0.209322703,0.322812663
1448368153,0.111217612,0.435696065
1448368168,0.035297772,0.362335872
1448368183,0.108317192,0.410533072
1448368198,0.255869417,0.048329114
1448368213,0.277195986,0.002002211
1448368228,0.21245033,0.000894021
1448368243,0.187190769,0.016137059
1448368258,0.205944164,0.017008143
1448368273,0.127963404,0.151630486
1448368288,0.025671315,0.437026365
1448368303,0,0.049905768
1448369297,0.101027928,0.128356763
1448369312,0.085581878,0.02671266
1448369327,0.172351807,0.039541957
1448369342,0.224564496,0.033237577
1448369357,0.169202899,0.025697406
1448369372,0.107071787,0.028908389
1448369387,0.142572226,0.001269499
1448369402,0.163952176,0.00452234
1448369417,0.076172156,0.056164323
1448369432,0.09205013,0.344109676
1448369447,0.156297309,0.348715098
1448369462,0.11368562,0.197346051
1448369477,0.071570003,0.219977036
1448369492,0.064861881,0.318452983
1448369507,0.067167902,0.276118691
1448369522,0.10227476,0.204462415
1448369537,0.085013395,0.269603418
1448369552,0.052141235,0.351531301
1448369567,0.055332991,0.394909747
1448369582,0.052855646,0.287401716
1448369597,0.096556953,0.185381714
1448369612,0.142978189,0.075973693
1448369627,0.160658675,0.058057002
1448369642,0.187697639,0.14613761
1448369657,0.184512984,0.023340883
1448369672,0.363538721,0.01081643
1448369687,0.471639789,0.004296016
1448369702,0.266669728,0.044594813
1448369717,0.114803761,0.132481086
1448369732,0.069776826,0.226233436
1448369747,0.050153343,0.320375298
1448369762,0.056484316,0.41274021
1448369777,0.053766885,0.424182783
1448369792,0.035209217,0.359724119
1448369807,0.021727238,0.354665301
1448369822,0.028992462,0.391390108
1448369837,0.044882162,0.407235858
1448369852,0.067445783,0.382992956
1448369867,0.06986681,0.341390041
1448369882,0.042408569,0.3476335
1448369897,0.04152143,0.391974065
1448369912,0.055103437,0.369003031
1448369927,0.064534206,0.421950733
1448369942,0.048007013,0.307630291
1448369957,0.037297082,0.19747282
1448369972,0.066894838,0.327139926
1448369987,0.072626705,0.25392935
1448370002,0.051999203,0.399040977
1448370017,0.031704333,0.262225081
1448370032,0.046844851,0.164047142
1448370047,0.089149054,0.169243244
1448370062,0.110805615,0.137973538
1448370077,0.114284894,0.091610473
1448370092,0.106539281,0.10204382
1448370107,0.108285104,0.128713138
1448370122,0.147615445,0.020338715
1448370137,0.249974935,0.016453674
1448370152,0.23602644,0.021636143
1448370167,0.1363439,0.011851187
1448370182,0.147566683,0.068550794
1448370197,0.161734538,0.12621481
1448370212,0.115910968,0.136123212
1448370227,0.068342633,0.094668766
1448370242,0.056575795,0.097209453
1448370257,0.083908498,0.295993975
1448370272,0.113240641,0.249440063
1448370287,0.118302136,0.069823053
1448370302,0.147417507,0.043419032
1448370317,0.247176685,0.006716585
1448370332,0.298099054,8.25E-05
1448370347,0.228977539,0.000489157
1448370362,0.151881114,0.024406981
1448370377,0.088253646,0.351979968
1448370392,0.031706711,0.397076113
1448370407,0.012579417,0.390471277
1448370422,0.008371571,0.395513776
1448370437,0.01161494,0.398690899
1448370452,0.107088455,0.18855393
1448370467,0.22983853,0.038267325
1448370482,0.194957706,0.007272808
1448370497,0.067739164,0.027396242
1448370512,0.00761576,0.338412119
1448370527,0.021496243,0.312857268
1448370542,0.09664505,0.054793012
1448370557,0.171822873,0.013552991
1448370572,0.126302907,0.018475751
1448370587,0.038678247,0.163163523
1448370602,0.01752055,0.358987377
1448370617,0.041129039,0.356020339
1448370632,0.118159748,0.057174219
1448370647,0.186126634,0.015632121
1448370662,0.275651345,0.050358139
1448370677,0.271493054,0.035739489
1448370692,0.125598657,0.051664515
1448370707,0.048429765,0.364320279
1448370722,0.023649911,0.411157487
1448370737,0.013750656,0.410990106
1448370752,0.022512837,0.424974022
1448370767,0.067457638,0.339534446
1448370782,0.138104883,0.087688304
1448370797,0.18130548,0.02634713
1448370812,0.222720127,0.012326102
1448370827,0.227637297,0.034990441
1448370842,0.129822391,0.267453556
1448370857,0.05574858,0.255908777
1448370872,0.040400134,0.263094734
1448370887,0.065566845,0.158170505
1448370902,0.107570732,0.105573734
1448370917,0.129702188,0.007214613
1448370932,0.195392968,0.001977174
1448370947,0.253829535,0.005404493
1448370962,0.180456496,0.026022149
1448370977,0.072710302,0.222327465
1448370992,0.046799708,0.159544513
1448371007,0.088005006,0.132550128
1448371022,0.155801829,0.180166773
1448371037,0.130076983,0.024171944
1448371052,0.069882146,0.056130403
