,0,p_value
1448450170,0.172003967,0.109749056
1448450185,0.158341619,0.091557597
1448450200,0.08016346,0.205526208
1448450215,0.087704381,0.253539722
1448450230,0.098770188,0.151281983
1448450245,0.059803796,0.225246686
1448450260,0.053241377,0.484540924
1448450275,0.074745824,0.440206456
1448450290,0.108851466,0.260276201
1448450305,0.247429056,0.45083471
1448450320,0.437286223,0.316798538
1448450335,0.48083285,0.290454222
1448450350,0.408807283,0.368027668
1448450365,0.294230828,0.223316182
1448450380,0.163510404,0.168081412
1448450395,0.119433235,0.143831603
1448450410,0.123997575,0.111871194
1448450425,0.143594876,0.077138773
1448450440,0.181568911,0.050055573
1448450455,0.215002625,0.030725939
1448450470,0.220397611,0.004646999
1448450485,0.260597578,0.001725082
1448450500,0.316849058,0.002507554
1448450515,0.305594268,0.0010793
1448450530,0.277865762,0.004269507
1448450545,0.202733229,0.032189661
1448450560,0.089843597,0.25722002
1448450575,0.032340025,0.464491637
1448450590,0.059384333,0.458839198
1448450605,0.077739678,0.467264927
1448450620,0.037313541,0.40289978
1448450635,0.033771839,0.463925476
1448450650,0.061508785,0.46028519
1448450665,0.062563052,0.510322773
1448450680,0.050066748,0.509280649
1448450695,0.064255243,0.387074443
1448450710,0.068548879,0.51970674
1448450725,0.068578051,0.466828755
1448450740,0.090513148,0.483830054
1448450755,0.076170914,0.507428481
1448450770,0.074425511,0.181940422
1448450785,0.075508463,0.196332049
1448450800,0.071955169,0.127137378
1448450815,0.108500033,0.118083482
1448450830,0.137382036,0.167862501
1448450845,0.114667071,0.492712757
1448450860,0.080553045,0.506230158
1448450875,0.069126131,0.252753609
1448450890,0.071611783,0.24469635
1448450905,0.090377203,0.504744972
1448450920,0.10290874,0.466185377
1448450935,0.097557222,0.243438754
1448450950,0.127242208,0.161577749
1448450965,0.148975199,0.3291331
1448450980,0.089164372,0.260678831
1448450995,0.061191057,0.375878988
1448451010,0.080222398,0.47845059
1448451025,0.057168767,0.488085973
1448451040,0.024590863,0.431676913
1448451055,0.024341705,0.486191771
1448451070,0.029261812,0.497452777
1448451085,0.018955388,0.36034599
1448451100,0.013710065,0.362876795
1448451115,0.05876503,0.407388853
1448451130,0.151352971,0.498741746
1448451145,0.157448658,0.200828638
1448451160,0.098226806,0.028203341
1448451175,0.114033703,0.089805919
1448451190,0.132055652,0.447416775
1448451205,0.09063534,0.411104226
1448451220,0.056209442,0.361278363
1448451235,0.087756498,0.207064483
1448451250,0.150543448,0.094495646
1448451265,0.144584446,0.030123681
1448451280,0.188291161,0.034387653
1448451295,0.308306974,0.091160546
1448451310,0.301948037,0.052204725
1448451325,0.289829042,0.033577625
1448451340,0.324056445,0.027737876
1448451355,0.244199832,0.029664846
1448451370,0.141314251,0.051491822
1448451385,0.099790514,0.443226909
1448451400,0.084288717,0.481294457
1448451415,0.094461469,0.490022112
1448451430,0.087889615,0.505351124
1448451445,0.084099274,0.344097948
1448451460,0.088551073,0.341950559
1448451475,0.057574593,0.357345056
1448451490,0.042694993,0.342007237
1448451505,0.055433242,0.23686043
1448451520,0.046112566,0.257230964
1448451535,0.035869554,0.467310285
1448451550,0.043565842,0.417108778
1448451565,0.102670203,0.420152206
1448451580,0.17677048,0.366646351
1448451595,0.150703271,0.236301197
1448451610,0.111740242,0.0577152
1448451625,0.181741704,0.036786337
1448451640,0.198389046,0.041359587
1448451655,0.122962535,0.020958663
1448451670,0.085660023,0.205853686
1448451685,0.071670541,0.426394391
1448451700,0.068452866,0.489010706
1448451715,0.079088961,0.043415701
